epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.116,0.55649,2.5092,1.20767,0.68352,0.95918,0.93463,0.6083,0.94857,7.5682,2.22228,0.00046,0.00046,0.00046
2,48.2467,0.33983,0.65434,1.02661,0.83179,0.70653,0.79326,0.53899,1.22894,3.49709,2.31881,0.000921388,0.000921388,0.000921388
3,57.2906,0.37562,0.53972,1.04206,0.23835,0.16327,0.05525,0.01091,4.03905,9.22074,5.71495,0.00136377,0.00136377,0.00136377
4,67.727,0.37127,0.57144,1.04774,0.09578,0.08163,0.01303,0.00167,4.22799,4.77263,4.9245,0.00178714,0.00178714,0.00178714
5,76.6779,0.36425,0.48223,1.0254,0.18545,0.38776,0.11273,0.03013,2.81904,8.14982,3.59209,0.0018416,0.0018416,0.0018416
6,85.4827,0.36532,0.48299,1.0358,0.76842,0.81267,0.87462,0.72583,0.75999,1.67633,1.48234,0.001802,0.001802,0.001802
7,93.5484,0.33031,0.44941,0.99806,0.72785,0.95918,0.95365,0.78036,0.50187,1.67792,1.20603,0.0017624,0.0017624,0.0017624
8,102.503,0.32648,0.43675,1.01662,0.48552,0.67347,0.46171,0.33739,nan,nan,nan,0.0017228,0.0017228,0.0017228
9,111.14,0.28861,0.37192,0.97919,0.61142,0.69388,0.73329,0.51157,0.76919,2.42167,1.25647,0.0016832,0.0016832,0.0016832
10,119.517,0.29931,0.37106,0.98448,0.81602,0.81633,0.79766,0.66193,0.5813,0.91066,1.26659,0.0016436,0.0016436,0.0016436
11,128.378,0.28955,0.37422,0.99028,0.94506,1,0.99422,0.98604,0.22553,0.65062,0.80459,0.001604,0.001604,0.001604
12,136.802,0.2845,0.37336,0.97952,0.76628,0.85714,0.83945,0.62748,0.93154,1.50892,1.13633,0.0015644,0.0015644,0.0015644
13,145.645,0.29542,0.37899,0.97931,0.97106,1,0.995,0.96838,0.26478,0.57526,0.81425,0.0015248,0.0015248,0.0015248
14,153.848,0.2477,0.31723,0.94273,0.98,0.99985,0.9946,0.98204,0.2405,0.71382,0.80443,0.0014852,0.0014852,0.0014852
15,162.535,0.26704,0.33195,0.97079,0.94718,0.87755,0.93683,0.89773,0.2227,0.71806,0.79113,0.0014456,0.0014456,0.0014456
16,171.388,0.23486,0.32384,0.95083,0.95323,0.95918,0.96124,0.93624,0.27841,0.77332,0.88358,0.001406,0.001406,0.001406
17,179.613,0.25292,0.32492,0.94886,0.97152,0.97959,0.99422,0.96295,0.20423,0.56721,0.79558,0.0013664,0.0013664,0.0013664
18,188.125,0.22151,0.28756,0.93895,0.83847,0.95345,0.97648,0.94638,0.20279,0.55241,0.79447,0.0013268,0.0013268,0.0013268
19,196.448,0.22283,0.28624,0.96064,0.99773,0.97959,0.99349,0.98979,0.19918,0.2336,0.76256,0.0012872,0.0012872,0.0012872
20,205.456,0.19771,0.27849,0.93135,0.9796,1,0.9946,0.97525,0.21179,0.28779,0.81209,0.0012476,0.0012476,0.0012476
21,213.729,0.21607,0.29382,0.9522,1,0.99889,0.995,0.991,0.15532,0.21348,0.7511,0.001208,0.001208,0.001208
22,222.682,0.19726,0.2691,0.94536,0.97724,0.97959,0.98429,0.97139,0.17163,0.26628,0.74076,0.0011684,0.0011684,0.0011684
23,231.65,0.19405,0.25617,0.9267,0.96544,0.97959,0.9871,0.98347,0.13181,0.56381,0.71025,0.0011288,0.0011288,0.0011288
24,239.7,0.21058,0.27433,0.93536,0.94776,0.97959,0.98842,0.98014,0.13156,0.62517,0.71169,0.0010892,0.0010892,0.0010892
25,248.595,0.18137,0.25284,0.93236,0.94623,0.95918,0.97951,0.9792,0.13067,0.58289,0.71183,0.0010496,0.0010496,0.0010496
26,256.692,0.19115,0.25001,0.9212,0.95602,0.97959,0.98589,0.98262,0.16322,0.74106,0.72593,0.00101,0.00101,0.00101
27,265.835,0.19474,0.24049,0.92731,0.8731,0.97959,0.98807,0.98202,0.1967,0.78837,0.75943,0.0009704,0.0009704,0.0009704
28,274.411,0.19497,0.25581,0.92823,0.98085,0.95918,0.99209,0.98444,0.19372,0.59661,0.76171,0.0009308,0.0009308,0.0009308
29,282.966,0.1968,0.25192,0.92265,0.9977,1,0.995,0.98618,0.20908,0.22243,0.78583,0.0008912,0.0008912,0.0008912
30,292.152,0.17664,0.23851,0.9249,0.99781,1,0.995,0.995,0.23032,0.26808,0.80517,0.0008516,0.0008516,0.0008516
31,300.393,0.14693,0.19624,0.89503,0.98742,1,0.995,0.995,0.17461,0.23764,0.76725,0.000812,0.000812,0.000812
32,309.601,0.17694,0.21571,0.92471,0.99865,1,0.995,0.995,0.17131,0.20981,0.75169,0.0007724,0.0007724,0.0007724
33,318.421,0.1876,0.23863,0.92331,0.99865,1,0.995,0.98918,0.16819,0.19834,0.73832,0.0007328,0.0007328,0.0007328
34,327.035,0.17194,0.22107,0.91819,0.99557,1,0.995,0.98006,0.18272,0.25198,0.7682,0.0006932,0.0006932,0.0006932
35,336.074,0.1746,0.23571,0.93074,0.99423,1,0.995,0.98876,0.18173,0.22913,0.7416,0.0006536,0.0006536,0.0006536
36,344.402,0.18877,0.23628,0.92397,0.9984,1,0.995,0.995,0.16242,0.23906,0.73736,0.000614,0.000614,0.000614
37,353.443,0.15591,0.19996,0.91844,0.99809,1,0.995,0.995,0.13482,0.18953,0.71305,0.0005744,0.0005744,0.0005744
38,361.775,0.17854,0.21947,0.92561,0.9973,1,0.995,0.995,0.12982,0.17384,0.70318,0.0005348,0.0005348,0.0005348
39,371.219,0.13296,0.18157,0.89368,0.99828,1,0.995,0.993,0.10571,0.18362,0.69141,0.0004952,0.0004952,0.0004952
40,380.129,0.13919,0.18882,0.91477,0.97953,1,0.995,0.98404,0.13268,0.18198,0.72448,0.0004556,0.0004556,0.0004556
41,390.102,0.18255,0.31155,0.95189,0.99842,1,0.995,0.995,0.12692,0.15014,0.70004,0.000416,0.000416,0.000416
42,399.415,0.15131,0.17984,0.92624,0.99862,1,0.995,0.995,0.18305,0.25663,0.77532,0.0003764,0.0003764,0.0003764
43,408.023,0.16146,0.17565,0.92008,0.99833,1,0.995,0.995,0.1246,0.16833,0.6961,0.0003368,0.0003368,0.0003368
44,416.527,0.16951,0.17313,0.92606,0.99877,1,0.995,0.995,0.14497,0.19499,0.70595,0.0002972,0.0002972,0.0002972
45,425.672,0.14646,0.1333,0.90284,0.99847,1,0.995,0.993,0.12532,0.16719,0.69517,0.0002576,0.0002576,0.0002576
46,433.487,0.13755,0.14358,0.90561,0.9989,1,0.995,0.993,0.12544,0.15166,0.6971,0.000218,0.000218,0.000218
47,442.365,0.1397,0.12675,0.89762,0.99894,1,0.995,0.995,0.11283,0.13996,0.69651,0.0001784,0.0001784,0.0001784
48,450.204,0.13025,0.12152,0.90885,0.99892,1,0.995,0.995,0.10649,0.13408,0.695,0.0001388,0.0001388,0.0001388
49,459.227,0.12863,0.11873,0.9176,0.99883,1,0.995,0.995,0.11442,0.14377,0.69611,9.92e-05,9.92e-05,9.92e-05
50,467.622,0.13184,0.11768,0.88237,0.99883,1,0.995,0.995,0.10827,0.14096,0.69368,5.96e-05,5.96e-05,5.96e-05
